년도,구,주민 1인당 생활폐기물(쓰레기) 배출량(㎏/인/일),생활폐기물 배출량(톤/일),주민수(명)
2009,계,1.08,11336.8,10464051
2009,종로구,2.17,385.4,177543
2009,중구,3.54,487.4,137861
2009,용산구,1.3,326.7,251200
2009,성동구,0.99,312.5,316064
2009,광진구,0.99,382.7,386513
2009,동대문구,1.01,378.1,374277
2009,중랑구,0.92,393.5,429700
2009,성북구,0.83,401.7,484457
2009,강북구,0.92,315.7,343912
2009,도봉구,0.83,307.4,372398
2009,노원구,0.88,541.2,615161
2009,은평구,0.73,344.4,470782
2009,서대문구,0.97,327.1,336649
2009,마포구,1.05,413.7,392313
2009,양천구,1.06,534.7,506684
2009,강서구,0.99,570.9,579196
2009,구로구,0.96,430.1,449613
2009,금천구,1.04,272.8,263116
2009,영등포구,1.22,537,441747
2009,동작구,0.97,394.3,407973
2009,관악구,0.87,474.4,547311
2009,서초구,1.41,608.9,431131
2009,강남구,1.72,978.7,569499
2009,송파구,1.15,791.1,689296
2009,강동구,0.87,426.4,489655
2010,계,0.95,10020.4,10575447
2010,종로구,2.45,439,179362
2010,중구,3.75,529.2,141200
2010,용산구,0.79,203.7,257143
2010,성동구,0.89,282,316892
2010,광진구,1.01,392.3,388775
2010,동대문구,1.08,409.4,379343
2010,중랑구,0.5,214.9,432302
2010,성북구,0.72,357.8,497692
2010,강북구,0.67,233.4,350007
2010,도봉구,1.08,400.6,370734
2010,노원구,0.74,452.9,615425
2010,은평구,0.54,264.6,492925
2010,서대문구,0.92,308.3,333871
2010,마포구,0.76,303.1,400464
2010,양천구,0.55,277.4,505223
2010,강서구,1.16,671.4,580506
2010,구로구,0.68,308.1,452667
2010,금천구,0.74,196.7,264544
2010,영등포구,1.21,541.1,445648
2010,동작구,0.78,323.1,413814
2010,관악구,0.62,340,549736
2010,서초구,1.34,589.1,440021
2010,강남구,1.72,990.5,577070
2010,송파구,1.06,733.3,693144
2010,강동구,0.52,258.5,496939
2011,계,0.9,9440.1,10528774
2011,종로구,2.32,411,177419
2011,중구,3.98,562.9,141567
2011,용산구,0.83,214.2,259288
2011,성동구,0.94,290.2,308767
2011,광진구,0.94,365.2,386673
2011,동대문구,1.17,444.5,378534
2011,중랑구,0.5,213.1,428672
2011,성북구,0.6,297.5,494422
2011,강북구,0.7,242.9,348740
2011,도봉구,1.1,404.3,367949
2011,노원구,0.5,303.7,608062
2011,은평구,0.54,270.3,498350
2011,서대문구,0.9,291.4,324529
2011,마포구,0.78,309.6,398627
2011,양천구,0.51,257.4,505605
2011,강서구,0.75,429.8,575846
2011,구로구,0.6,276.7,458908
2011,금천구,0.84,221.2,264256
2011,영등포구,0.83,366,439555
2011,동작구,0.79,327.7,413658
2011,관악구,0.59,321,546350
2011,서초구,1.34,588,439012
2011,강남구,1.78,1017.3,573003
2011,송파구,1.09,751.5,690466
2011,강동구,0.52,262.7,500516
2012,계,0.88,9189.3,10442426
2012,종로구,2.23,386.6,173148
2012,중구,3.93,553.4,140807
2012,용산구,0.89,227.9,255294
2012,성동구,0.87,267.6,306868
2012,광진구,0.96,368.5,384269
2012,동대문구,1.06,400,375683
2012,중랑구,0.53,222.5,423655
2012,성북구,0.61,300.6,490639
2012,강북구,0.7,242.5,346493
2012,도봉구,1.1,400.4,364454
2012,노원구,0.51,307.9,600829
2012,은평구,0.52,261.1,505902
2012,서대문구,0.81,263.6,324733
2012,마포구,0.71,279.6,393576
2012,양천구,0.55,274.5,500533
2012,강서구,0.7,399.1,573794
2012,구로구,0.63,285.7,454478
2012,금천구,0.86,223.5,260734
2012,영등포구,0.94,403.2,426876
2012,동작구,0.81,337.7,416268
2012,관악구,0.59,317.6,540520
2012,서초구,1.31,578.1,439998
2012,강남구,1.73,984.9,569997
2012,송파구,0.95,644.2,680150
2012,강동구,0.52,258.6,492728
2013,계,0.82,8559,10388055
2013,종로구,2.11,354.7,167867
2013,중구,3.68,507.9,137990
2013,용산구,0.77,193.2,251925
2013,성동구,0.85,261.8,306571
2013,광진구,0.99,379.3,381439
2013,동대문구,1.05,396.8,376445
2013,중랑구,0.54,227.4,421237
2013,성북구,0.57,274.9,485347
2013,강북구,0.68,232.6,341921
2013,도봉구,1.07,386.2,360609
2013,노원구,0.51,302.4,594027
2013,은평구,0.58,294.9,508111
