컬럼1	컬럼1	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018
컬럼1	컬럼1	합계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	발생량	46,188.4	946.5	1,042.1	1,155.5	2,028.9	1,250.8	1,658	1,760.5	2,388.7	832.8	706.9	1,725.8	2,043.5	1,198.7	1,519.9	1,063.1	3,779.2	1,423.5	1,399.2	2,322.4	1,569	1,506.9	2,834.1	4,789	2,915.1	2,328.3
합계	재활용량	40,724.6	811.1	845.3	1,051.5	1,486	1,164.8	1,527.4	1,635.8	2,235.7	755.8	582	1,533.6	1,895.6	1,076.7	1,290	907.3	2,774.9	1,210.2	1,258.6	2,191.6	1,462.7	1,377.6	2,603	4,235.5	2,615.7	2,196.2
생활폐기물	발생량	6,676.7	261.9	314.9	214.3	185.8	247.4	318.7	303.1	254.5	154.7	177.4	335.3	249.1	212.2	348.4	192.8	316.9	222.6	189.8	201	199.5	326.5	388	407.6	394.1	260.2
생활폐기물	재활용량	3,640.7	133.9	126.7	118.9	94.7	168.2	208.3	192.9	155.8	79.5	109.8	228.3	110.8	103.2	202.8	95.1	173.3	76	116.2	82.3	109	205.6	215.6	176	199.2	158.6
음식물폐기물	발생량	2,816.2	100.8	114.8	74.1	84.2	95.1	97.6	88.8	94	75.9	78.3	131.9	84.2	73.1	91.1	104.9	163.1	96.8	59	134.3	91.1	110.3	175.7	269.5	217.7	109.9
음식물폐기물	재활용량	2,816.2	100.8	114.8	74.1	84.2	95.1	97.6	88.8	94	75.9	78.3	131.9	84.2	73.1	91.1	104.9	163.1	96.8	59	134.3	91.1	110.3	175.7	269.5	217.7	109.9
사업장배출 시설계폐기물	발생량	1,854.6	-	-	11.6	51.2	20.1	22.6	10.4	-	-	13	136	11.4	-	72.2	42.7	687.9	3.8	0.7	41.3	-	1.3	-	524.3	88.1	116
사업장배출 시설계폐기물	재활용량	981.3	-	-	10.8	16.3	20	20.2	2	-	-	13	54	11.4	-	67	1.2	135.7	1.3	0.3	41.3	-	1.3	-	391	78.8	115.7
건설폐기물	발생량	34,840.9	583.8	612.4	855.5	1,707.7	888.2	1,219.1	1,358.2	2,040.2	602.2	438.2	1,122.6	1,698.8	913.4	1,008.2	722.7	2,611.3	1,100.3	1,149.7	1,945.8	1,278.4	1,068.8	2,270.4	3,587.6	2,215.2	1,842.2
건설폐기물	재활용량	33,286.4	576.4	603.8	847.7	1,290.8	881.5	1,201.3	1,352.1	1,985.9	600.4	380.9	1,119.4	1,689.2	900.4	929.1	706.1	2,302.8	1,036.1	1,083.1	1,933.7	1,262.6	1,060.4	2,211.7	3,399	2,120	1,812
지정폐기물	발생량	353.8	19.6	7.6	5.1	12.7	7.3	10.6	5.6	9.9	3.5	4.6	18.1	6.6	17.6	24.7	20.5	12.6	9.7	6.3	12.4	11.1	7.8	25.6	53.7	29.1	11.5
지정폐기물	재활용량	70.4	4.6	1.8	1.2	5.5	1.9	2.3	1.7	1.5	1.1	1.3	1.8	1.4	1	4.1	1.9	4.6	2.3	2.2	2.8	1.8	2.9	8.3	4.1	6.4	2
